id,title,artist,status,tabs_link,video_link,recording_link,artwork_url,notes,created_at,updated_at
1caa7179-c783-4239-8731-80d003ca1213,Enter Sandman,Metallica,recorded,https://www.songsterr.com/a/wsa/metallica-enter-sandman-tab-s19t4,https://youtu.be/MFEHvIyeYLc,https://cloud.mail.ru/public/qLbF/zxe42FGwV,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/18/93/db/1893db5c-ddd1-b95c-3112-b9b83bcceab0/0093624986553.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.917026+00
1ec30419-d000-4531-8702-abafa443194f,Feel it still,Portugal The Man,studied,https://www.youtube.com/watch?v=Z1-Y6wGwtyI,,,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/76/fc/2d/76fc2dba-69ea-2718-012d-962dcb661bf1/075679896933.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.874594+00
1f78a5e6-8534-408b-9573-0aaa1c8ade55,I feel like I'm drowning,Two Feet,want-to-learn,,,,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/eb/ee/d3/ebeed3af-8cc6-68d3-ae07-add8de80d7ea/17UM1IM23197.rgb.jpg/600x600bb.jpg,,2025-06-07 20:12:09.563829+00,2025-06-07 20:50:37.921742+00
230b938d-f414-4042-acc2-fe75e705f74e,Believer,Imagine Dragons,studied,https://cloud.mail.ru/public/4Xs9/5hkhVEvZr,,,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/11/7a/b8/117ab805-6811-8929-18b9-0fad7baf0c25/17UMGIM98210.rgb.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.892285+00
24728de8-634c-4bef-b550-6bffe49b8c43,Paranoid,Black Sabbath,recorded,,,,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/be/27/91/be279120-2285-16c6-c7ba-9d6643d4a948/075992732727.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.872637+00
25844340-3022-43ba-b05b-f62c3b9662e8,Blinding lights,The Weekend,rehearsing,https://www.docdroid.net/hFjRqPQ/blinding-lights-pdf,,,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/6f/bc/e6/6fbce6c4-c38c-72d8-4fd0-66cfff32f679/20UMGIM12176.rgb.jpg/600x600bb.jpg,,2025-06-07 20:01:10.260239+00,2025-06-07 20:50:37.926518+00
27ebf818-22c4-4d11-b504-b3268be9ee3a,The Chain,Fleetwood Mac,recorded,https://www.youtube.com/watch?v=lXEqKsorM54&list=PL31nbWbtligXdgQszl-3_6KIj3HeF2bea&index=11,,,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/4d/13/ba/4d13bac3-d3d5-7581-2c74-034219eadf2b/081227970949.jpg/600x600bb.jpg,"Double Drop D (DADGBD), каподастр на 2 ладу, 75 bpm",2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.925779+00
2a21cedf-efa0-4a9b-a258-c6dcdb312167,Believer,Imagine Dragons,rehearsing,,https://www.youtube.com/watch?v=A1fj5ATfkYo,,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/11/7a/b8/117ab805-6811-8929-18b9-0fad7baf0c25/17UMGIM98210.rgb.jpg/600x600bb.jpg,,2025-06-07 20:01:10.260239+00,2025-06-08 09:27:19.531903+00
2cae103b-72ae-4855-a6ac-5bc8386c58d7,Zombie,Cranberries,rehearsing,https://www.youtube.com/watch?v=NrqSe-ywUnU&list=PL31nbWbtligXdgQszl-3_6KIj3HeF2bea&index=22,,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/b6/c8/85/b6c885de-fde6-d40d-c95a-d89ede4270ae/06UMGIM09433.rgb.jpg/600x600bb.jpg,,2025-06-07 20:01:10.260239+00,2025-06-07 20:50:37.624173+00
2f82ed8d-877c-4f50-9e89-05475106dfef,Truth,Limp Bizkit,studied,,,,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/73/59/08/73590831-8965-5294-c534-ebfb2cdb2370/00602577027666.rgb.jpg/600x600bb.jpg,Drop B 96 bpm (192 bpm),2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.881163+00
